cd_cvm,ano,conceito,valor_esperado,tolerancia_rel,status,razao_social,fonte_tipo,fonte_url,data_verificacao,observacao
000906,2024,ativo_total,2053126000000,0.001,DIVERGENCIA_FONTE,BCO BRADESCO S.A.,relatorio_anual,https://contrafcut.com.br/data/files/43/C4/04/CD/042E49100F8B4849820808A8/Destaques%20do%20Banco%20Bradesco%204T24.pdf,2026-09-06,"base_ou_safra_diferente | ""Ativos Totais ... 2024: 2.053.126 ... 2023: 1.915.475 ... Variacao 12m: 7,2%"" (tabela em milhoes; rodape: ""Fonte: Demonstracoes Financeiras do Banco Bradesco (4 trimestre de 2024)"
000906,2024,lucro_liquido,17500000000,0.005,TRAVA,BCO BRADESCO S.A.,release_da_empresa,https://uk.marketscreener.com/quote/stock/BANCO-BRADESCO-S-A-56358309/news/Banco-Bradesco-S-A-Consolidated-Financial-Statements-IFRS-f83290-48992138/,2026-09-06,"""BOOK NET INCOME R$ 17.5 bi"" (+21.0% p/a) — Banco Bradesco S.A., Consolidated Financial Statements - IFRS, 4T24, pagina 'selected information 2024'. O rotulo 'lucro liquido contabi"
000906,2024,lucro_liquido_controladores,17252900000,0.001,TRAVA,BCO BRADESCO S.A.,site_fundamentalista,https://valores.monitordomercado.com.br/company/56/dfp,2026-09-06,"""Lucro/Prejuizo do Periodo: 17.542.153 mil"" e ""Atribuido a Socios da Empresa Controladora: 17.252.900 mil"" (coluna 2024, valores em mil)."
000906,2024,patrimonio_liquido,168942000000,0.001,TRAVA,BCO BRADESCO S.A.,site_fundamentalista,https://stockanalysis.com/quote/bvmf/BBDC4/financials/balance-sheet/,2026-09-06,"""Total Common Equity: 168,410"" / ""Minority Interest: 532.84"" / ""Shareholders' Equity: 168,942"" (FY 2024, ""Millions BRL"")"
000906,2024,receita_liquida,78885000000,0.001,DEFEITO_ABERTO,BCO BRADESCO S.A.,site_fundamentalista,https://stockanalysis.com/quote/bvmf/BBDC4/financials/income-statement/,2026-09-06,"cobertura_receita_financeira | ""Revenue: 78,885"" (tabela anual FY 2024; rodape da pagina: ""Financials in millions BRL."")"
001023,2012,ativo_total,1150000000000,0.001,DIVERGENCIA_FONTE,BCO BRASIL S.A.,noticia,https://bancariospb.com.br/banco-do-brasil-tem-lucro-recorde-nominal-de-r-1220-bilhoes-em-2012/,2026-09-06,"base_ou_safra_diferente | 'Os ativos totais atingiram R$ 1,150 trilhao em dezembro de 2012, aumento de 17,2%' (o release do BB usa a mesma redacao: 'alcancando ao final de 2012 o valor de R$ 1,15 trilhao, e"
001023,2012,lucro_liquido,12205000000,0.001,DIVERGENCIA_FONTE,BCO BRASIL S.A.,noticia,https://bancariospb.com.br/banco-do-brasil-tem-lucro-recorde-nominal-de-r-1220-bilhoes-em-2012/,2026-09-06,"base_ou_safra_diferente | 'lucro liquido recorde nominal de R$ 12,205 bilhoes' (materia reproduzindo o release do BB; o proprio BB titula 'BB tem lucro liquido recorde nominal de R$ 12,2 bilhoes em 2012' em"
001023,2012,patrimonio_liquido,66070000000,0.001,DIVERGENCIA_FONTE,BCO BRASIL S.A.,noticia,https://bancariospb.com.br/banco-do-brasil-tem-lucro-recorde-nominal-de-r-1220-bilhoes-em-2012/,2026-09-06,"base_ou_safra_diferente | 'patrimonio liquido em dezembro de 2012 ficou em R$ 66,070 bilhoes'."
001023,2024,ativo_total,2398719000000,0.001,TRAVA,BCO BRASIL S.A.,relatorio_anual,https://www.marketscreener.com/quote/stock/BANCO-DO-BRASIL-S-A-6494540/news/Banco-do-Brasil-S-A-Dados-Economico-Financeiros-49105463/,2026-09-06,"Relatorio da Administracao 2024 do BB: 'Assets: 2,398,719' (R$ milhoes em dezembro de 2024). Bate ate o ultimo milhar com a conta BPA '1 Ativo Total' = 2,39872e12 do DFP CONSOLIDAD"
001023,2024,lucro_liquido,29172000000,0.001,TRAVA,BCO BRASIL S.A.,relatorio_anual,https://www.marketscreener.com/quote/stock/BANCO-DO-BRASIL-S-A-6494540/news/Banco-do-Brasil-S-A-Dados-Economico-Financeiros-49105463/,2026-09-06,"'we recorded a net income of R$29.2 billion' e, na tabela do mesmo Relatorio da Administracao, 'Net Income: 29,172' (2024) contra '33,166' (2023), sob o cabecalho 'Consolidated Fin"
001023,2024,patrimonio_liquido,184236000000,0.001,TRAVA,BCO BRASIL S.A.,relatorio_anual,https://www.marketscreener.com/quote/stock/BANCO-DO-BRASIL-S-A-6494540/news/Banco-do-Brasil-S-A-Dados-Economico-Financeiros-49105463/,2026-09-06,"Relatorio da Administracao 2024 do BB: 'Shareholders Equity: 184,236' (R$ milhoes em dezembro de 2024)."
