demonstrativo,cd_conta,ds_conta,conceito,plano
BPA,1,Ativo Total,ativo_total,PADRAO
BPA,1,Ativo,ativo_total,PADRAO
BPA,1,Ativo total:,ativo_total,PADRAO
BPA,1.01,Ativo Circulante,ativo_circulante,PADRAO
BPA,1.01.01,Caixa e Equivalentes de Caixa,caixa_e_equivalentes,PADRAO
BPA,1.01.01,Caixa e equivalentes de caixa,caixa_e_equivalentes,PADRAO
BPA,1.01.01,Disponibilidades,caixa_e_equivalentes,LEGADO
BPA,1.01.03,Contas a Receber,contas_a_receber,PADRAO
BPA,1.01.04,Estoques,estoques,PADRAO
BPA,1.02,Ativo Não Circulante,ativo_nao_circulante,PADRAO
BPA,1.02,Ativo Realizável a Longo Prazo,ativo_nao_circulante,LEGADO
BPP,2,Passivo Total,passivo_total,PADRAO
BPP,2.01,Passivo Circulante,passivo_circulante,PADRAO
BPP,2.01.02,Fornecedores,fornecedores,PADRAO
BPP,2.01.04,Empréstimos e Financiamentos,divida_bruta_circulante,PADRAO
BPP,2.02,Passivo Não Circulante,passivo_nao_circulante,PADRAO
BPP,2.02,Passivo Exigível a Longo Prazo,passivo_nao_circulante,LEGADO
BPP,2.02.01,Empréstimos e Financiamentos,divida_bruta_nao_circulante,PADRAO
BPP,2.03,Patrimônio Líquido,patrimonio_liquido,PADRAO
BPP,2.03,Patrimônio Líquido Consolidado,patrimonio_liquido,PADRAO
BPP,2.03.09,Participação dos Acionistas Não Controladores,pl_minoritarios,PADRAO
BPP,2.08,Patrimônio Líquido Consolidado,patrimonio_liquido,FINANCEIRO
BPP,2.08.09,Participação dos Acionistas Não Controladores,pl_minoritarios,FINANCEIRO
DFC_MD,6.01,Caixa Líquido Atividades Operacionais,fluxo_caixa_operacional,PADRAO
DFC_MD,6.02,Caixa Líquido Atividades de Investimento,fluxo_caixa_investimento,PADRAO
DFC_MD,6.03,Caixa Líquido Atividades de Financiamento,fluxo_caixa_financiamento,PADRAO
DFC_MI,6.01,Caixa Líquido Atividades Operacionais,fluxo_caixa_operacional,PADRAO
DFC_MI,6.01,Caixa Líquido das Atividades Operacionais,fluxo_caixa_operacional,PADRAO
DFC_MI,6.02,Caixa Líquido Atividades de Investimento,fluxo_caixa_investimento,PADRAO
DFC_MI,6.03,Caixa Líquido Atividades de Financiamento,fluxo_caixa_financiamento,PADRAO
DRE,3.01,Receitas da Intermediação Financeira,fin_receita_intermediacao,FINANCEIRO
DRE,3.01,Receitas de Intermediação Financeira,fin_receita_intermediacao,FINANCEIRO
DRE,3.01,Receitas das Atividades Seguradoras/Resseguradoras,fin_receita_seguros,SEGURADORA
DRE,3.01,Receita de Venda de Bens e/ou Serviços,receita_liquida,PADRAO
DRE,3.01,Receita Bruta de Venda de Bens e/ou Serviços,receita_liquida,PADRAO
DRE,3.01,Receita,receita_liquida,PADRAO
DRE,3.02,Custo dos Bens e/ou Serviços Vendidos,custo,PADRAO
DRE,3.02,Despesas da Intermediação Financeira,fin_despesa_intermediacao,FINANCEIRO
DRE,3.02,Despesas de Intermediação Financeira,fin_despesa_intermediacao,FINANCEIRO
DRE,3.03,Resultado Bruto Intermediação Financeira,fin_resultado_intermediacao,FINANCEIRO
DRE,3.03,Resultado Bruto de Intermediação Financeira,fin_resultado_intermediacao,FINANCEIRO
DRE,3.03,Resultado Bruto,lucro_bruto,PADRAO
DRE,3.04,Despesas/Receitas Operacionais,despesas_operacionais,PADRAO
DRE,3.04.01,Despesas com Vendas,despesas_vendas,PADRAO
DRE,3.04.02,Despesas Gerais e Administrativas,despesas_administrativas,PADRAO
DRE,3.04.06,Resultado de Equivalência Patrimonial,equivalencia_patrimonial,PADRAO
DRE,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,ebit,PADRAO
DRE,3.05,Resultado Antes dos Tributos sobre o Lucro,lucro_antes_tributos,DESLOCADO
DRE,3.05,Resultado antes dos Tributos sobre o Lucro,lucro_antes_tributos,DESLOCADO
DRE,3.06,Resultado Financeiro,resultado_financeiro,PADRAO
DRE,3.06.01,Receitas Financeiras,receitas_financeiras,PADRAO
DRE,3.06.02,Despesas Financeiras,despesas_financeiras,PADRAO
DRE,3.07,Resultado Antes do Resultado Financeiro e dos Tributos,ebit,DESLOCADO
DRE,3.07,Resultado Antes dos Tributos sobre o Lucro,lucro_antes_tributos,PADRAO
DRE,3.07,Resultado Antes Tributação/Participações,lucro_antes_tributos,LEGADO
DRE,3.09,Lucro/Prejuízo Consolidado do Período,lucro_liquido,FINANCEIRO
DRE,3.09.01,Atribuído a Sócios da Empresa Controladora,lucro_liquido_controladores,FINANCEIRO
DRE,3.11,Lucro/Prejuízo do Período,lucro_liquido,PADRAO
DRE,3.11,Lucro/Prejuízo Consolidado do Período,lucro_liquido,PADRAO
DRE,3.11,Lucro ou Prejuízo Líquido do Período,lucro_liquido,FINANCEIRO
DRE,3.11,Lucro ou Prejuízo Líquido Consolidado do Período,lucro_liquido,FINANCEIRO
DRE,3.11.01,Atribuído a Sócios da Empresa Controladora,lucro_liquido_controladores,PADRAO
DRE,3.11.01,Atribuído aos Sócios da Empresa Controladora,lucro_liquido_controladores,PADRAO
DRE,3.13,Lucro/Prejuízo do Período,lucro_liquido,FINANCEIRO
DRE,3.13,Lucro/Prejuízo Consolidado do Período,lucro_liquido,FINANCEIRO
DRE,3.13.01,Atribuído a Sócios da Empresa Controladora,lucro_liquido_controladores,FINANCEIRO
